name_ja,id,country,color,note
Van Veen-Kreidler,van-veen-kreidler,—,#999999,公式リザルト／英語版Wikipediaの表記「Van Veen-Kreidler」
Malanca-Morbidelli,malanca-morbidelli,—,#999999,公式リザルト／英語版Wikipediaの表記「Malanca-Morbidelli」
Yamaha-Suzuki,yamaha-suzuki,—,#999999,公式リザルト／英語版Wikipediaの表記「Yamaha-Suzuki」
Yamaha BR,yamaha-br,—,#999999,公式リザルト／英語版Wikipediaの表記「Yamaha BR」
Dugdale Maxton Yamaha,dugdale-maxton-yamaha,—,#999999,公式リザルト／英語版Wikipediaの表記「Dugdale Maxton Yamaha」
D.R.M.,d-r-m,—,#999999,公式リザルト／英語版Wikipediaの表記「D.R.M.」
Hermetite-SuzukiI,hermetite-suzukii,—,#999999,公式リザルト／英語版Wikipediaの表記「Hermetite-SuzukiI」
Nava,nava,—,#999999,公式リザルト／英語版Wikipediaの表記「Nava」
Yamaha-Morbidelli,yamaha-morbidelli,—,#999999,公式リザルト／英語版Wikipediaの表記「Yamaha-Morbidelli」
Bultaco-Minarelli,bultaco-minarelli,—,#999999,公式リザルト／英語版Wikipediaの表記「Bultaco-Minarelli」
GB Bender-Morbidelli,gb-bender-morbidelli,—,#999999,公式リザルト／英語版Wikipediaの表記「GB Bender-Morbidelli」
GB,gb,—,#999999,公式リザルト／英語版Wikipediaの表記「GB」
Padgett Kawasaki,padgett-kawasaki,—,#999999,公式リザルト／英語版Wikipediaの表記「Padgett Kawasaki」
Sandroni,sandroni,—,#999999,公式リザルト／英語版Wikipediaの表記「Sandroni」
Ega Honda,ega-honda,—,#999999,公式リザルト／英語版Wikipediaの表記「Ega Honda」
BSL,bsl,—,#999999,公式リザルト／英語版Wikipediaの表記「BSL」
NER Honda,ner-honda,—,#999999,公式リザルト／英語版Wikipediaの表記「NER Honda」
Proton,proton,—,#999999,公式リザルト／英語版Wikipediaの表記「Proton」
ERP,erp,—,#999999,公式リザルト／英語版Wikipediaの表記「ERP」
E-NER,e-ner,—,#999999,公式リザルト／英語版Wikipediaの表記「E-NER」
JJ Cobas/Honda,jj-cobas-honda,—,#999999,公式リザルト／英語版Wikipediaの表記「JJ Cobas/Honda」
NER,ner,—,#999999,公式リザルト／英語版Wikipediaの表記「NER」
NSU,nsu,西ドイツ,#444444,1950年代の125cc・250ccで活躍
DKW,dkw,西ドイツ,#444444,ドイツのメーカー
モト・モリーニ,moto-morini,イタリア,#555555,イタリアのメーカー
BSA,bsa,英国,#333333,英国のメーカー
エクセルシオール,excelsior,英国,#555555,英国のメーカー
LB,lb,—,#999999,公式リザルト／英語版Wikipediaの表記「LB」
Sparta,sparta,—,#999999,公式リザルト／英語版Wikipediaの表記「Sparta」
Horex,horex,—,#999999,公式リザルト／英語版Wikipediaの表記「Horex」
Adler,adler,—,#999999,公式リザルト／英語版Wikipediaの表記「Adler」
Lube,lube,—,#999999,公式リザルト／英語版Wikipediaの表記「Lube」
LEF,lef,—,#999999,公式リザルト／英語版Wikipediaの表記「LEF」
GMS-NSU,gms-nsu,—,#999999,公式リザルト／英語版Wikipediaの表記「GMS-NSU」
Münch,munch,—,#999999,公式リザルト／英語版Wikipediaの表記「Münch」
Bianchi,bianchi,—,#999999,公式リザルト／英語版Wikipediaの表記「Bianchi」
S250,s250,—,#999999,公式リザルト／英語版Wikipediaの表記「S250」
S350,s350,—,#999999,公式リザルト／英語版Wikipediaの表記「S350」
Triton,triton,—,#999999,公式リザルト／英語版Wikipediaの表記「Triton」
CKB,ckb,—,#999999,公式リザルト／英語版Wikipediaの表記「CKB」
Ckb,ckb-x,—,#999999,公式リザルト／英語版Wikipediaの表記「Ckb」
Ducson,ducson,—,#999999,公式リザルト／英語版Wikipediaの表記「Ducson」
Pyrkijca,pyrkijca,—,#999999,公式リザルト／英語版Wikipediaの表記「Pyrkijca」
Ckeb,ckeb,—,#999999,公式リザルト／英語版Wikipediaの表記「Ckeb」
CKEB,ckeb-x,—,#999999,公式リザルト／英語版Wikipediaの表記「CKEB」
Greeves,greeves,—,#999999,公式リザルト／英語版Wikipediaの表記「Greeves」
RD,rd,—,#999999,公式リザルト／英語版Wikipediaの表記「RD」
Lancefield,lancefield,—,#999999,公式リザルト／英語版Wikipediaの表記「Lancefield」
Jawa-CZ,jawa-cz,—,#999999,公式リザルト／英語版Wikipediaの表記「Jawa-CZ」
Vostok,vostok,—,#999999,公式リザルト／英語版Wikipediaの表記「Vostok」
Royal Enfield,royal-enfield,—,#999999,公式リザルト／英語版Wikipediaの表記「Royal Enfield」
Villiers,villiers,—,#999999,公式リザルト／英語版Wikipediaの表記「Villiers」
Hannah-Paton,hannah-paton,—,#999999,公式リザルト／英語版Wikipediaの表記「Hannah-Paton」
Hannah Paton,hannah-paton-x,—,#999999,公式リザルト／英語版Wikipediaの表記「Hannah Paton」
Reimo,reimo,—,#999999,公式リザルト／英語版Wikipediaの表記「Reimo」
Arter-Matchless,arter-matchless,—,#999999,公式リザルト／英語版Wikipediaの表記「Arter-Matchless」
Manning-Norton,manning-norton,—,#999999,公式リザルト／英語版Wikipediaの表記「Manning-Norton」
ČZ,cz-x,—,#999999,公式リザルト／英語版Wikipediaの表記「ČZ」
Higley-Matchless,higley-matchless,—,#999999,公式リザルト／英語版Wikipediaの表記「Higley-Matchless」
Westlake,westlake,—,#999999,公式リザルト／英語版Wikipediaの表記「Westlake」
Gazelle,gazelle,—,#999999,公式リザルト／英語版Wikipediaの表記「Gazelle」
Humber-Crescent,humber-crescent,—,#999999,公式リザルト／英語版Wikipediaの表記「Humber-Crescent」
Brown Special,brown-special,—,#999999,公式リザルト／英語版Wikipediaの表記「Brown Special」
Metisse-URS,metisse-urs,—,#999999,公式リザルト／英語版Wikipediaの表記「Metisse-URS」
Crescent,crescent,—,#999999,公式リザルト／英語版Wikipediaの表記「Crescent」
Brown,brown,—,#999999,公式リザルト／英語版Wikipediaの表記「Brown」
Kuhn Seeley,kuhn-seeley,—,#999999,公式リザルト／英語版Wikipediaの表記「Kuhn Seeley」
Rabassa,rabassa,—,#999999,公式リザルト／英語版Wikipediaの表記「Rabassa」
Crooks Suzuki,crooks-suzuki-x,—,#999999,公式リザルト／英語版Wikipediaの表記「Crooks Suzuki」
EMC-Puch,emc-puch,—,#999999,公式リザルト／英語版Wikipediaの表記「EMC-Puch」
Reg,reg,—,#999999,公式リザルト／英語版Wikipediaの表記「Reg」
Rd Special,rd-special,—,#999999,公式リザルト／英語版Wikipediaの表記「Rd Special」
MZ-Ducati,mz-ducati,—,#999999,公式リザルト／英語版Wikipediaの表記「MZ-Ducati」
MZ-MV Augusta,mz-mv-augusta,—,#999999,公式リザルト／英語版Wikipediaの表記「MZ-MV Augusta」
Bultaco-DKW,bultaco-dkw,—,#999999,公式リザルト／英語版Wikipediaの表記「Bultaco-DKW」
USSRC,ussrc,—,#999999,公式リザルト／英語版Wikipediaの表記「USSRC」
Ducati-Honda,ducati-honda,—,#999999,公式リザルト／英語版Wikipediaの表記「Ducati-Honda」
Bultaco-MZ,bultaco-mz,—,#999999,公式リザルト／英語版Wikipediaの表記「Bultaco-MZ」
Valkada-Honda,valkada-honda,—,#999999,公式リザルト／英語版Wikipediaの表記「Valkada-Honda」
Montesa-Villa,montesa-villa,—,#999999,公式リザルト／英語版Wikipediaの表記「Montesa-Villa」
Villa-Brown,villa-brown,—,#999999,公式リザルト／英語版Wikipediaの表記「Villa-Brown」
Cowles-AJS,cowles-ajs,—,#999999,公式リザルト／英語版Wikipediaの表記「Cowles-AJS」
Brownyam,brownyam,—,#999999,公式リザルト／英語版Wikipediaの表記「Brownyam」
Lawton-Aermacchi,lawton-aermacchi,—,#999999,公式リザルト／英語版Wikipediaの表記「Lawton-Aermacchi」
Drixton-Aermacchi,drixton-aermacchi,—,#999999,公式リザルト／英語版Wikipediaの表記「Drixton-Aermacchi」
J.C.B.Honda,j-c-b-honda,—,#999999,公式リザルト／英語版Wikipediaの表記「J.C.B.Honda」
NED DB Racing Team,ned-db-racing-team,—,#999999,公式リザルト／英語版Wikipediaの表記「NED DB Racing Team」
Harris,harris,—,#999999,公式リザルト／英語版Wikipediaの表記「Harris」
